OPERACIÓN MÉCANICA,TOP BOY,AGILITY,AGILITY RS,AGILITY CITY 150,BET & WIN,ACTIV,"SPIKE
",AGILITY RS  NAKED  ,SUPER 8,GACELA,CRUCERO             x-town 300,ROCKET,FLY 125,TWIST,JETIX,UNI-K 110,TRACK,PULSAR 135,Perseo,PULSAR,PULSAR 180 UG,PULSAR 150  ,THOR 160,PULSAR 200  ,PULSAR 150 NS ,PULSAR 150 AS,PULSAR 200 AS ,PULSAR 200 NS ,TITAN,PULSAR  RS 200,PULSAR 220,AVENGER 220,XCD ,DISCOVER 100,DISCOVER 135,"
BOXER",LEXUS,DISCOVER 100 5S,DISCOVER 150,CHAMPION,DISCOVER 125 ST,"
BOXER BM 100",BOXER BM 150,BOXER BM 100 ES ,PLATINO 125,PLATINO 125 - 5S,"
 PLATINO 100",PLATINO 110,FAMILLY,"MOTOCARRO
4T",TORITO,"MOTOCARRO
DIESEL"," KAZE
MAX II",ZX 130- MAGIC II,KMX,KLX 150,KLX150  L,KLX 250,NINJA 250,NINJA 250 FI,Z250,Z250 SL,ER-6n,TRANS-SPORT,MRX 150,FURAX,BOMBER 125,BOMBER 250,COMBAT 125,ZS,LIFE,HUNTER,BLACK,VENOM 400,VENOM 250,ONE,FLOW,ADVANCE II LF,ZONTES 155,ZONTES 310M,SHOCK,TNT150i,180S,TNT25N,LEONCINO 500,LEONCINO 250,TRK 500X,TRK 251,302 S
CAMBIO CARENAJE MANUBRIO FRONTAL ,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,,,,,,,,,,0.5,,,,,,0.5,0.5,0.5,0.5,,,0.3,0.5,0.3,,0.5,0.3,,,,,,,,
CAMBIO CARENAJE MANUBRIO POSTERIOR,0.6,0.6,0.6,0.6,0.3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6,,,,,,,,,,1,,,,,,0.6,0.6,0.7,0.6,,,0.6,0.6,0.6,,0.6,0.6,,,,,,,,
CAMBIO CUBIERTA DE MOTOR,0.5,0.5,0.5,0.5,,,,0.5,0.5,0.5,,0.5,0.5,0.5,,,,,,,,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,0.5,0.5,1,?,,,,,,,,,,,,,,,,
CAMBIO DE SILLIN,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CAMBIO TABLERO DE INSTRUMENTOS ( COMPLETO),1,1,1,1,1.3,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,1,1.2,1,1,1,1,1,0.8,1,1,1,0.6,0.6,0.6,1,1,0.6,1,1,0.3,0.3,,1,1,1,0.6,0.6,0.6,1.5,1.5,0.7,0.7,0.6,0.7,0.5,0.6,1,0.6,1,0.5,0.5,0.5,1,0.5,1,1,0.5,1,1,1,1,0.7,0.7,0.7,0.6,0.7,0.6,0.7,0.7
CAMBIO PARTES INTERNAS DEL TABLERO DE INSTRUMENTOS,1.3,1.3,1.3,1.3,,1.3,1.3,1.3,1.0,1.0,1.5,,1.3,1.3,1.3,1.3,1.3,,,,,,,,,,,,,,,1.2,,1.3,1.3,1.3,1.3,1,1.3,1.3,1.3,1,1,1,1.3,1.3,1.3,1.3,1.3,,,,1.3,1.3,1.3,1,1,,1.5,1.5,1,1,,1.2,1,,1.3,,1.3,1.0,1,1,1.5,,,1.3,1.0,1.3,1,1.5,1.3,1,1,1,,1,,1,
CAMBIO CARENAJES FRONTAL INTERNO LH Y RH,0.6,1,1,1,1.3,0.5,0.5,1,1,1,1.3,1.2,1,1,0.5,0.5,0.5,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,1.3,,,,,,,,0.5,,,,,0.1,0.1,0.1,,,,,,,,,1,,1.3,1.3,,,0.5,0.5,0.5,,1.3,0.5,0.1,0.1,0.1,,0.1,,0.1,0.1
CAMBIO CARENAJE CENTRAL FRONTAL,,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.5,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,,,,,,,,,,,,0.2,0.5,2,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,,,,,,,,,,0.4,,,,,,0.5,,0.4,0.4,,,0.4,0.4,0.4,,0.4,0.4,,,,,,,,
CAMBIO CARENAJE CENTRAL POSTERIOR,,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,,,,,,,,,,0.4,,,,,,0.5,,0.5,0.5,,,0.4,0.4,0.4,,0.5,0.4,,,,,,,,
CAMBIO CARENAJE LATERAL CENTRAL LH Y RH,,,,,1.5,0.3,0.3,,,,1.5,,,,0.3,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,,,,,,,,,,0.4,,,,,,0.5,,0.5,0.5,,,0.4,0.4,0.4,,0.5,0.4,,,,,,,,
CAMBIO CARENAJE LATERAL TRASERO LH Y RH,0.6,0.8,1,1,1,0.6,0.6,1,1,1,1,1.5,1,1,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,0.6,,,,,,1,1,1,1,,,0.6,0.6,0.6,,1,0.6,,,,,,,,
CAMBIO CARENAJE TRASERO CENTRAL,0.3,,,,,0.3,0.3,,,,,,,,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.3,,,0.3,,,,,,,,
CAMBIO GUARDAFANGO LLANTA TRASERA PARTE DELANTERA,,,,,,1,1,,,,,,,,1,1,1,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1.5,1,1,1,1,1,,0.5,0.5,0.5,1,1,1,1,1,1,,,,,,0.8,1,,,,,1.5,1.5,1.5,0.8,,0.8,,1,,0.7,,,,0.5,0.5,0.2,0.5,1,1,1,0.8,0.5,1,0.8,0.8,0.8,1,0.8,1,0.8,0.8
CAMBIO GUARDAFANGO TRASERO,,,,,,,,,,,,,,,,,,0.5,0.5,,0.5,0.5,0.3,0.5,0.3,,,0.3,0.3,0.3,,,,,,,,0.5,0.5,,0.5,,,,,,,,,0.5,0.5,,,,0.7,0.3,0.3,0.5,,,,,,,,0.4,1,0.5,1,,,,,0.6,0.3,,,,,,,,,,,,,,
CAMBIO GUARDAFANGO TRASERO PORTA PLACA,0.5,0.3,0.3,0.3,0.8,0.7,0.7,0.3,0.5,0.5,0.7,1.5,0.3,0.3,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,0.7,0.7,,,,0.7,1.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,0.7,0.7,0.7,0.7,0.7,,,,0.5,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,1,0.7,0.7,0.5,0.7,0.5,0.5,0.7,0.7,0.6,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.7,0.5,0.7,0.8
CAMBIO  GUARDAFANGO INTERNO,0.2,0.2,0.2,0.2,0.2,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,0.2,0.2,0.2,0.2,0.2,,,,,,,0.2,,0.2,0.2,0.2,,,,,,,,,,0.2,0.2,,,,,,,,,0.5,0.7,0.7,0.7,,0.3,0.3,0.3,,,,,,0.1,,0.2,0.2,0.5,0.2,0.6,,,,,0.3,0.2,,0.3,0.3,0.3,1,0.3,1,0.3,0.3
CAMBIO ENFOCADORES TANQUE LH Y RH C/U,,,,,,,,,,,,,,,,,,0.3,0.3,,0.1,0.1,0.5,0.5,0.5,0.7,0.7,0.5,,,0.1,,0.2,0.2,,,,,,,,,,,0.2,0.2,,,,,,,,,0.2,0.4,0.4,0.4,,,,,,,0.4,0.8,,,,,,,,,0.5,,,,0.5,,,,,,,,,,
CAMBIO PROTECTOR MOTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO TAPA INFERIOR TANQUE LH Y RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.3,0.3,0.3,0.3,0.4,,,,,,,,,,,0.5,,,,,0.3,,,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3
CAMBIO CARENAJE TRASERO (COLA),,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1.5,1.7,1,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,,,,1,,,,,,1,1,1,1,,1,,,,,,,,,,0.6,1,,,,1,,,1,1,1,1,1,1,1,1
CAMBIO DE PROTECTORES LATERALES DE MOTOR LH Y RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DE CORTA VIENTOS LH Y RH C/U,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO GAVETA ,0.5,0.5,0.5,0.5,0.6,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,,,,,,,0.5,,,,,,,,,
CAMBIO CARENAJE GAVETA FRONTAL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CARENAJE INFERIOR CENTRAL,,,,,,0.5,0.5,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,0.5,,,,,,,,,,,,0.5,0.5,0.5,,,0.5,,,,,,,,
CAMBIO CARENAJE APOYA PIES,1,1,1,1,1.7,,,1,1,1,1.7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.7,1.7,,,,,,,2,,,,,,,,,
CAMBIO PROTECTOR METALICO APOYA PIES,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CARENAJE FRONTAL INFERIOR,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CARENAJE DEL TABLERO DE INSTRUMENTOS,,1,1,1,1.3,1,1,1,,,,,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1.5,1,,1,1,,,,1,1.5,1.5,1.5,,,,1,1,,,1,,,,1,1,,,,,1.5,1.5,,,,0.7,,0.6,,,,1,,1,1.3,0.1,1,1,1,1,,1.3,1,,,0.6,,,,,0.6
CAMBIO PARABRISAS,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPERMEABILIZADA DE TABLERO DE INSTRUMENTOS,1,1,1,1,1.3,1,1,1,1,1,1.5,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,0.6,1,1,1,1,1,0.8,1,1,1,0.6,0.6,0.6,1,1,1,1,1,0.4,0.4,,1,1,1,1,1,1,1.5,1.5,1.3,1.3,1,1,1,1,1,1.0,1,1,1,1.5,1.5,,,1,1,1,1.3,1.5,1,1.3,1.3,1.3,1,1.3,1,1.3,1
CAMBIO PARRILLA CENTRAL,,,,,,0.4,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,,,,,,,,0.4,0.4,,,0.4,,,,,,,,
CAMBIO GUARDAFANGO DELANTERO POSTERIOR,,,,,,0.3,0.3,,,,,,,,,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,0.3,,,,,,,,,,,,0.3,0.3,0.3,,,0.3,,,,,,,,
CAMBIO CARENAJES FRONTAL LATERAL LH Y RH C/U,0.5,,,,,0.3,0.3,,,,,,,,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,,,,,,,,,,0.5,,,,,,,,,,,,,0.3,0.3,,,0.3,,,,,,,,
CAMBIO GUARDAFANGO DELANTERO FRONTAL,,,,,,0.2,0.2,,,,,,,,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,1.6,,,,,,,,,,0.3,,,,,,,,,,,,0.4,0.2,0.2,,,0.2,,,,,,,,
CAMBIO CARENAJE FRONTAL (FAROLA),0.4,0.6,0.6,1,1.2,0.7,0.7,0.6,0.6,0.6,1,1.5,0.6,0.6,,0.7,0.6,0.6,0.6,0.6,0.6,0.6,1,1,1,1,1,1,1,1.5,2,,1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,1,1,0.6,1,,0.1,1,0.2,0.4,0.7,0.2,0.4,0.4,0.4,1,1,1,1,0.7,0.6,0.4,,,0.6,,0.5,0.6,1,1,0.5,1,0.6,0.5,0.7,1,1,0.7,1,1,1,,,1,1,1
CAMBIO DE GUARDAFANGO DELANTERO,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.4,0.4,0.4,0.4,0.5,0.4,0.4,,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,3,3,,0.4,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,0.3,0.4,0.3,0.5,0.3,0.4,0.4,0.4,0.4,0.25,0.4,0.4,0.8,0.8,0.3,5,0.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CAMBIO PILA RELOJ TABLERO,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DEFENSA,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,
CAMBIO CUBIERTA DE TANQUE,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.1,,,,,,,,,,,,,,,
CAMBIO DE RADIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,
CAMBIO DE PARLANTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,
CAMBIO DE ENCENDEDOR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,
CAMBIO DE  PUERTO USB ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3,,,0.5,,,1,,,,,,,,,
CONJUNTO DE CABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CABLE ACELERADOR C/U,1.5,1.5,1.50,1.50,1.7,1.5,1.5,1.5,1.5,1.5,1.7,1.5,1.50,1.50,1.5,1.5,1.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1,1,0.7,1.0,1.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,,1.5,1.5,0.7,0.7,0.7,,1.0,1,0.8,0.8,0.7,1.5,0.7,0.7,0.7,0.1,0.7,1.5,1.5,1.7,1.7,0.5,0.7,1.5,1.5,1.5,0.8,1.7,1.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
CAMBIO CABLE CLUTCH,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,1,1,0.7,,1.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.8,,,,0.4,0.4,0.4,0.4,0.7,0.7,0.7,0.7,0.4,,0.4,0.4,0.4,0.1,0.4,,,,,05,0.7,,,,0.7,,,0.7,0.7,0.7,0.4,0.4,0.4,0.4,0.6
CAMBIO CABLE CHOKE,,,,,,1,1,,,,,,,,1,1,1,,,,0.5,0.5,,,,,,,,,,,,,0.5,0.5,0.5,,,,,0.5,,,,,0.5,,,0.6,0.6,,1,1,0.5,0.5,0.5,,1,,,,,1,0.5,,0.5,,0.5,,,,,,,1,1,1,,,1,,,,,,,,
CAMBIO CABLE FRENO DELANTERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,,0.3,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,0.8,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CABLE FRENO TRASERO,1.5,1.5,1.5,,,,,1.5,1.5,1.5,,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,
CAMBIO CABLE DE REVOLUCIONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CABLE VELOCIMETRO,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,,,,,,,0.3,0.3,0.3,0.3,0.3,,,0.3,0.3,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,,1,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,,1,0.6,0.6,0.7,,0.7,0.7,0.7,0.4,0.4,,0.3,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.7,0.7,,0.7,,0.7,
CAMBIO VARILLA FRENO TRASERO,,,,,,0.4,,,,,,,,,,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,,,,,,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,0.8,0.4,,,,,,,,,,0.8,,0.8,0.4,,0.4,,,,,,,0.4,0.4,0.4,,,0.4,,,,,,,,
CAMBIO CABLE CAMBIOS (C/U),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CABLE FRENO DE PARQUEO Y/O  LEVA,,,1.5,,,,,1.5,1.5,1.5,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,
SISTEMA ELÉCTRICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO BOMBILLO FAROLA,0.5,0.5,0.5,0.50,1.0,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,1,1,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,,0.1,1,0.4,1,0.4,0.4,0.4,0.4,0.5,0.7,0.7,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.5,,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.4,,0.4,0.5,0.5,0.5,0..5,,0.5,0.4,0.4,0.4,0.4,0..5,0.4,0.4,,0.6,,0.6,,0.6,
CAMBIO BOMBILLO STOP (C/U),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,0.1,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,0.3,0.3,,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.1,1,,,,,,,,,,0.1,,,,,0.4,,,,,,,,
CAMBIO BOMBILLO DIRECCIONAL TRASERA (C/U),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,0.1,0.1,,,,,0.1,,,,0.1,,0.1,,
CAMBIO BOMBILLO DIRECCIONAL DELANTERA (C/U),0.1,0.1,0.5,0.5,0.1,0.3,0.3,0.5,,,,,0.5,0.5,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,,,,,,,,,0.1,0.1,,,,,0.1,,,,0.2,,0.2,,
CAMBIO DIRECCIONAL TRASERA (C/U),0.5,0.5,1,1,0.5,0.5,0.5,1,1,1,,1,1,1,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.5,0.4,0.3,0.4,1,1,1,1,0.3,0.4,,0.4,0.7,0.4,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
CAMBIO DIRECCIONAL DELANTERA (C/U),0.7,0.6,0.6,0.6,1.0,0.6,0.6,0.6,1,1,1,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.7,0.4,0.2,1.0,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,1.0,1.0,0.4,0.4,0.4,0.5,0.5,,0.8,0.6,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.4,1,1,1,1,0.3,0.5,0.5,0.7,0.7,0.4,1,0.4,0.4,1.5,0.4,0.4,0.4,0.4,0.4,0.4
CAMBIO BOMBILLOS INDICADORES (direccionales. neutra. temperatur. R.P.M.luces. etc),1,1,1,1,,1,1,1,,,,,1,1,1,1,1,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,0.1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,1,,1,1,,1,,,,,,,,
CAMBIO FAROLA,0.7,0.6,0.6,0.6,1.2,0.6,0.6,0.6,0.6,0.6,1,1.5,0.6,0.6,0.6,0.6,0.6,1,1,0.6,0.6,0.6,1,1,1,1,1,1,0.7,1.5,2,0.4,1,1,0.6,0.6,0.6,1,1,1,1,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.1,0.7,,0.7,0.7,0.5,0.5,0.5,0.5,1,1,1,1,0.7,0.7,0.5,0.5,0.6,0.4,0.6,0.6,0.6,1,1,0.3,1,0.6,0.6,0.6,1,1.5,0.5,1,1.8,1,0.9,1,0.9,1,1.2
CAMBIO DE FAROLA DE LUZ MEDIA,0.5,,0.4,,,0.6,0.6,1.5,0.6,0.6,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,1,1,1,1,1,1.5,,2,0.4,1,1,0.6,0.6,0.7,0.7,1,1,1,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.1,0.1,0.7,,0.7,0.7,0.5,0.5,0.5,1,1,1,1,1,0.7,0.7,0.5,0.5,0.6,,,,0.6,0.6,,1,,1.5,0.6,0.6,0.6,,1.5,0.6,,,,,,,,
